system,accuracy,macro_f1,precision,recall
stack_average (log+hgb),0.9232,0.9231998033914968,0.9232043336123762,0.9232
gated_stack_average,0.9232,0.9231998033914968,0.9232043336123762,0.9232
gated_logistic_stack,0.922,0.9219971918989084,0.9220607767518523,0.922
cv_tuned_logistic_stack,0.922,0.9219971918989084,0.9220607767518523,0.922
relation_logistic_stack (submitted),0.922,0.9219971918989084,0.9220607767518523,0.922
cv_stack_average,0.9216,0.9215995484133989,0.921609713887808,0.9216
gated_cv_stack_average,0.9216,0.9215995484133989,0.921609713887808,0.9216
relation_gradient_boosting (submitted),0.9212,0.921199987391998,0.9212002695681725,0.9212
cv_tuned_gradient_boosting,0.9212,0.9211993822031564,0.921213209246242,0.9212
canonical_relation_gate,0.92,0.9199220489193001,0.9216417718656195,0.92
weighted_probability_fusion,0.7444,0.7389568962685789,0.7666391561390022,0.7444
image_only,0.7136,0.7102704746514181,0.7238917108747978,0.7136
text_only,0.6604,0.6524115270654738,0.6766384115687323,0.6604000000000001
